City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,Morant Bay,17.8815,-76.4093,82.02,85,10,7.45,JM,2021-11-02 01:30:39
121,Bacungan,9.9106,118.7022,86.65,63,92,6.26,PH,2021-11-02 01:30:39
122,Karanja,20.4833,77.4833,63.54,64,99,6.58,IN,2021-11-02 01:30:39
123,Capaci,38.1711,13.2393,69.4,75,40,11.01,IT,2021-11-02 01:30:40
124,Southbridge,42.0751,-72.0334,45.95,85,63,3.58,US,2021-11-02 01:30:40
125,Seydi,39.4816,62.9137,47.19,56,3,6.38,TM,2021-11-02 01:30:41
126,Gardner,42.5751,-71.9981,44.6,77,1,1.99,US,2021-11-02 01:30:41
127,Yaan,7.3833,8.5667,72.01,92,55,7.56,NG,2021-11-02 01:30:41
128,Kodiak,57.79,-152.4072,37.47,71,100,13.38,US,2021-11-02 01:30:42
129,Manado,1.487,124.8455,88.57,66,40,2.3,ID,2021-11-02 01:30:42
130,Kaitangata,-46.2817,169.8464,53.98,50,94,15.9,NZ,2021-11-02 01:30:42
131,College,64.8569,-147.8028,32.58,79,90,1.01,US,2021-11-02 01:30:43
132,Nouadhibou,20.931,-17.0347,67.98,83,65,12.66,MR,2021-11-02 01:30:43
133,Ancud,-41.8697,-73.8203,49.53,88,100,17.02,CL,2021-11-02 01:30:44
134,Hasaki,35.7333,140.8333,70.29,74,98,8.37,JP,2021-11-02 01:30:44
135,Provideniya,64.3833,-173.3,21.31,79,90,24.61,RU,2021-11-02 01:30:44
136,Oro Valley,32.3909,-110.9665,77.18,27,68,3.0,US,2021-11-02 01:30:50
137,Monroe,43.1501,-77.6831,45.95,63,40,6.91,US,2021-11-02 01:26:46
138,Mahebourg,-20.4081,57.7,70.25,88,40,3.44,MU,2021-11-02 01:30:50
139,Barda,40.3744,47.1267,53.65,84,72,0.18,AZ,2021-11-02 01:30:51
140,Cockburn Town,21.4612,-71.1419,81.36,73,7,11.16,TC,2021-11-02 01:30:51
141,Barrow,71.2906,-156.7887,24.82,80,75,11.5,US,2021-11-02 01:30:51
